identifier;description;specific_heat_capacity;specific_thermal_resistance;density;R_value;
M0001;interior_panel_plasterboard;1000;4.761904762;700;NaN;
M0002;external_plaster;1000;1.149425287;1600;NaN;
M0003;internal_plaster;1000;1.428571429;1400;NaN;
M0004;CarpetTextileFlooring;1300;16.66666667;200;NaN;
M0005;WoodenFlooring;1200;7.142857143;650;NaN;
M0006;concrete_reinforced_beam;1080;0.4347826087;2400;NaN;
M0007;concrete_reinforced_core;1080;0.4347826087;2400;NaN;
M0008;rockwool;612;27.77777778;90;NaN;
M0009;floor_covering_linoleum;1400;5.882352941;1200;NaN;
M0010;floor_pavement;1080;0.6666666667;2200;NaN;
M0011;concrete_reinforced_tabs;1080;0.4347826087;2400;NaN;
M0012;gypsum;900;1.923076923;1400;NaN;
M0013;concrete_reinforced;1080;0.4347826087;2400;NaN;
M0014;mineral_insulation_StoTherm;830;27.77777778;90;NaN;
M0015;concrete;1000;0.5555555556;2000;NaN;
M0016;concrete_reinforced_tabs_32cm;1080;0.4347826087;2400;NaN;
M0017;concrete_reinforced_tabs_8cm;1080;0.4347826087;2400;NaN;
M0018;suspended_ceiling;NaN;NaN;NaN;0.3;
